Designator,Footprint,Quantity,Value,LCSC Part #
"Bank_But1, REV_BUT1",Button_RgbLED_SPST_TC002,2,Button_SPST_RGB_5.4mmCap,
"C1, C10, C12, C13, C14, C15, C16, C17, C2, C3, C7, C8, C9",C_Disc_P2.54mm,13,0.1uF_Disc_TH,
C11,C_Disc_P5.08mm,1,100pF_Disc_TH,
"C19, C20, C4, C5",CP_Radial_P2.5mm,4,47uF_16V_TH,
C6,C_Disc_P5.08mm,1,1nF_Disc_TH,
"D1, D2",D_DO-35_P7.62mm_Horizontal,2,SB140-E3_TH,
J1,EighthInch_PJ398SM,1,START_CV,
J10,EighthInch_PJ398SM,1,AUDIO_INR,
J11,EighthInch_PJ398SM,1,AUDIO_OUTL,
J13,EighthInch_PJ398SM,1,BANK_CV,
J14,Pins_2x05_2.54mm_TH_Europower,1,Eurorack_Power_10pin_Unshrouded,
J2,EighthInch_PJ398SM,1,LENGTH_CV,
J3,EighthInch_PJ398SM,1,SAMP_CV,
J4,EighthInch_PJ398SM,1,PITCH CV,
J5,EighthInch_PJ398SM,1,REV_TRIG,
J6,EighthInch_PJ398SM,1,PLAY_TRIG,
J7,EighthInch_PJ398SM,1,END_OUT,
J8,EighthInch_PJ398SM,1,AUDIO_INL,
J9,EighthInch_PJ398SM,1,AUIDO_OUTR,
"JA1, JB1, JC1, JD1",Socket_2x05_2.54mm_TH,4,Socket_02x05_TH,
PLAY_BUT1,Button_RgbLED_SPST_PB615303HL-7mm,1,Button_SPST_RGB_7mmCap,
"POT_LENGTH1, POT_SAMP1, POT_START1",Pot_16mm_NoDet_RV16AF-4A,3,16mm_NoDet_10k,
POT_PITCH1,Pot_16mm_CtrDet_RV16AF-4A,1,16mm_CtrDet_10k,
"R1, R11, R15, R16, R21, R40, R41",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,1k_TH0.125,
"R10, R13, R28, R30, R31, R32",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,33k_TH0.125,
"R12, R25, R26, R27, R37, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,10k_TH0.125,
"R14, R2, R3, R33, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,47k_TH0.125,
"R18, R19, R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,330Ω_TH0.125,
"R34, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,100k_TH0.125,
SD1,CardSlot_MicroSD_YamaichiPJS008U-3000,1,microSDCon_Vert_TH_PJS008U-3000,
"U1, U2",DIP-8pin_TH,2,TL082_TH,
U3,TO-220-3_PXO78xx-500,1,78M33_TH,
