Designator,Mid X,Mid Y,Rotation,Layer
Bank_But1,78.7,-19.707236,180.0,bottom
C1,81.47,-50.55,0.0,top
C10,68.03,-77.18,0.0,top
C11,29.98,-108.21,270.0,top
C12,76.09,-66.64,180.0,top
C13,80.5,-66.71,180.0,top
C14,22.02,-109.46,0.0,top
C15,25.74,-103.85,180.0,top
C16,70.74,-19.23,270.0,top
C17,43.2,-19.53,90.0,top
C19,62.11,-39.02,90.0,top
C2,25.62,-50.3,0.0,top
C20,58.69,-35.91,0.0,top
C3,73.57,-69.32,90.0,top
C4,60.46,-107.46,0.0,top
C5,41.66,-105.69,0.0,top
C6,76.67,-75.52,0.0,top
C7,61.91,-111.26,0.0,top
C8,42.11,-109.69,180.0,top
C9,40.7,-69.98,0.0,top
D1,55.16,-107.14,270.0,top
D2,46.87,-109.52,90.0,top
J1,60.075,-82.457236,180.0,bottom
J10,61.957,-98.257236,180.0,bottom
J11,81.725,-113.682236,180.0,bottom
J13,40.043,-98.257236,180.0,bottom
J14,51.1,-112.9,0.0,top
J2,41.85,-82.457236,180.0,bottom
J3,23.675,-82.457236,180.0,bottom
J4,78.4,-82.457236,0.0,bottom
J5,20.275,-113.682236,180.0,bottom
J6,20.275,-98.257236,180.0,bottom
J7,40.07,-113.682236,180.0,bottom
J8,81.725,-98.257236,180.0,bottom
J9,61.93,-113.682236,180.0,bottom
JA1,68.272,-35.293808,0.0,top
JB1,67.272002,-90.2938,270.0,top
JC1,41.271978,-90.2938,270.0,top
JD1,40.27198,-35.293808,0.0,top
PLAY_BUT1,51.0,-21.982236,180.0,bottom
POT_LENGTH1,38.3,-60.77,180.0,bottom
POT_PITCH1,78.9,-41.182236,180.0,bottom
POT_SAMP1,23.1,-41.182236,180.0,bottom
POT_START1,63.7,-60.814319,180.0,bottom
R1,83.22,-70.35,90.0,top
R10,76.72,-73.9,0.0,top
R11,72.65,-65.21,180.0,top
R12,29.14,-105.01,180.0,top
R13,25.56,-109.49,0.0,top
R14,28.31,-108.15,270.0,top
R15,32.49,-109.12,0.0,top
R16,80.6,-27.48,90.0,top
R17,50.42,-99.86,0.0,top
R18,53.04,-27.48,180.0,top
R19,46.96,-27.27,0.0,top
R2,62.71,-83.21,270.0,top
R20,30.1,-96.83,0.0,bottom
R21,22.6,-26.16,90.0,top
R23,57.36,-22.43,0.0,top
R25,72.49,-17.6,270.0,top
R26,45.0,-19.53,270.0,top
R27,31.03,-19.44,270.0,top
R28,33.94,-36.62,0.0,top
R3,44.53,-83.17,270.0,top
R30,33.93,-38.45,0.0,top
R31,34.15,-42.63,0.0,top
R32,34.06,-40.48,0.0,top
R33,48.05,-97.37,90.0,top
R34,50.64,-96.61,180.0,top
R37,72.61,-66.88,0.0,top
R4,28.88,-86.28,270.0,top
R40,78.0,-28.27,0.0,top
R41,22.61,-29.57,90.0,top
R5,60.87,-83.24,270.0,top
R6,40.48,-84.71,0.0,top
R7,31.01,-88.08,90.0,top
R8,78.53,-72.19,180.0,top
R9,71.79,-69.38,90.0,top
REV_BUT1,23.3,-19.707236,180.0,bottom
SD1,51.01,-41.29,90.0,bottom
U1,78.4,-69.46,180.0,top
U2,23.36,-106.63,180.0,top
U3,58.78,-39.61,180.0,top
