Designator,Mid X,Mid Y,Rotation,Layer
Bank_But1,78.7,-19.707236,180.0,bottom
C1,70.4,-49.851,90.0,top
C10,69.049,-79.9,0.0,top
C11,16.38,-72.88,180.0,top
C12,72.9,-59.451,90.0,top
C13,84.3,-76.849,270.0,top
C14,14.5,-62.049,270.0,top
C15,21.41,-69.51,0.0,top
C16,35.1,-24.7792,90.0,top
C17,48.349,-27.9,0.0,top
C18,15.3,-30.3208,270.0,top
C19,69.06,-24.16,0.0,top
C2,33.349,-50.3,0.0,top
C20,58.76,-28.35,0.0,top
C3,88.1,-55.849,270.0,top
C4,72.2,-104.4,0.0,top
C5,29.15,-105.2,0.0,top
C6,82.3,-57.9,0.0,top
C7,73.349,-110.0,0.0,top
C8,30.4,-110.7,180.0,top
C9,33.851,-78.9,180.0,top
D1,61.575,-105.925,180.0,top
D2,41.25,-105.825,180.0,top
J1,60.075,-82.457236,180.0,bottom
J10,61.957,-98.257236,180.0,bottom
J11,81.725,-113.682236,180.0,bottom
J13,40.043,-98.257236,180.0,bottom
J14,50.8,-109.1138,0.0,top
J2,41.85,-82.457236,180.0,bottom
J3,23.675,-82.457236,180.0,bottom
J4,78.4,-82.457236,0.0,bottom
J5,20.275,-113.682236,180.0,bottom
J6,20.275,-98.257236,180.0,bottom
J7,40.07,-113.682236,180.0,bottom
J8,81.725,-98.257236,180.0,bottom
J9,61.93,-113.682236,180.0,bottom
JA1,68.272,-35.293808,0.0,top
JB1,67.272002,-90.2938,270.0,top
JC1,41.271978,-90.2938,270.0,top
JD1,40.27198,-35.293808,0.0,top
PLAY_BUT1,51.0,-21.982236,180.0,bottom
POT_LENGTH1,38.3,-60.77,180.0,bottom
POT_PITCH1,78.9,-41.182236,180.0,bottom
POT_SAMP1,23.1,-41.182236,180.0,bottom
POT_START1,63.7,-60.814319,180.0,bottom
R1,87.65,-84.79,90.0,top
R10,81.7,-61.1,0.0,top
R11,83.8,-68.6,270.0,top
R12,55.3,-89.3,180.0,top
R13,26.94,-72.71,0.0,top
R14,15.1,-79.49,270.0,top
R15,14.25,-89.36,270.0,top
R16,43.5,-22.5,90.0,top
R17,80.5148,-28.3242,90.0,top
R18,59.39,-34.09,180.0,top
R19,59.3312,-38.7128,180.0,top
R2,51.1,-81.3,270.0,top
R20,39.0,-22.6,90.0,top
R21,24.4062,-28.4766,90.0,top
R22,86.7,-20.1,270.0,top
R23,66.2,-47.2,270.0,top
R24,29.0,-29.8,270.0,top
R25,83.8168,-28.3496,270.0,top
R26,48.5,-31.6,180.0,top
R27,19.0722,-28.5782,270.0,top
R28,33.6,-36.5,90.0,top
R29,59.763,-43.9198,180.0,top
R3,47.2,-71.2,270.0,top
R30,59.763,-49.2284,180.0,top
R31,56.51,-52.2,180.0,top
R32,40.7,-46.5,0.0,top
R33,52.18,-94.55,180.0,top
R34,29.2,-96.3,90.0,top
R37,87.77,-64.85,90.0,top
R4,32.3,-86.3,270.0,top
R5,54.0,-72.2,270.0,top
R6,50.6,-68.9,270.0,top
R7,23.0,-90.0,0.0,top
R8,75.8,-75.6,0.0,top
R9,87.77,-74.87,90.0,top
REV_BUT1,23.3,-19.707236,180.0,bottom
SD1,51.01,-41.29,270.0,bottom
U1,72.8,-72.01,90.0,top
U2,18.0,-66.31,90.0,top
U3,63.76,-17.75,180.0,top
