Ref,Val,Package,PosX,PosY,Rot,Side
"Bank_But1","Button_SPST_RGB_5.4mmCap","Button_RgbLED_SPST_TC002",66.700000,101.882764,180.000000,bottom
"J1","3.5mm_Mono_Switched","EighthInch_PJ398SM",48.075000,39.132764,180.000000,bottom
"J2","3.5mm_Mono_Switched","EighthInch_PJ398SM",29.850000,39.132764,180.000000,bottom
"J3","3.5mm_Mono_Switched","EighthInch_PJ398SM",11.675000,39.132764,180.000000,bottom
"J4","3.5mm_Mono_Switched","EighthInch_PJ398SM",66.400000,39.132764,0.000000,bottom
"J5","3.5mm_Mono_Switched","EighthInch_PJ398SM",8.275000,7.907764,180.000000,bottom
"J6","3.5mm_Mono_Switched","EighthInch_PJ398SM",8.275000,23.332764,180.000000,bottom
"J7","3.5mm_Mono_Switched","EighthInch_PJ398SM",28.070000,7.907764,180.000000,bottom
"J8","3.5mm_Mono_Switched","EighthInch_PJ398SM",69.725000,23.332764,180.000000,bottom
"J9","3.5mm_Mono_Switched","EighthInch_PJ398SM",49.930000,7.907764,180.000000,bottom
"J10","3.5mm_Mono_Switched","EighthInch_PJ398SM",49.957000,23.332764,180.000000,bottom
"J11","3.5mm_Mono_Switched","EighthInch_PJ398SM",69.725000,7.907764,180.000000,bottom
"J13","3.5mm_Mono_Switched","EighthInch_PJ398SM",28.043000,23.332764,180.000000,bottom
"PLAY_BUT1","Button_SPST_RGB_7mmCap","Button_RgbLED_SPST_PB615303HL-7mm",39.000000,99.607764,180.000000,bottom
"POT_LENGTH1","16mm_NoDet_10k","Pot_16mm_NoDet_RV16AF-4A",26.300000,60.820000,180.000000,bottom
"POT_PITCH1","16mm_CtrDet_10k","Pot_16mm_CtrDet_RV16AF-4A",66.900000,80.407764,180.000000,bottom
"POT_SAMP1","16mm_NoDet_10k","Pot_16mm_NoDet_RV16AF-4A",11.100000,80.407764,180.000000,bottom
"POT_START1","16mm_NoDet_10k","Pot_16mm_NoDet_RV16AF-4A",51.700000,60.775681,180.000000,bottom
"REV_BUT1","Button_SPST_RGB_5.4mmCap","Button_RgbLED_SPST_TC002",11.300000,101.882764,180.000000,bottom
"SD1","microSDCon_Vert_TH_PJS008U-3000","CardSlot_MicroSD_YamaichiPJS008U-3000",39.010000,80.300000,90.000000,bottom
"C1","0.1uF_0603_16V","C_0603",69.470000,71.040000,0.000000,top
"C2","0.1uF_0603_16V","C_0603",13.620000,71.290000,0.000000,top
"C3","0.1uF_0603_16V","C_0603",61.570000,52.270000,90.000000,top
"C4","47uF_5x5.3_16V","CP_Elec_5x5.3",48.460000,14.130000,0.000000,top
"C5","47uF_5x5.3_16V","CP_Elec_5x5.3",29.660000,15.900000,0.000000,top
"C6","1nF_0603_50V","C_0603",64.670000,46.070000,0.000000,top
"C7","0.1uF_0603_16V","C_0603",49.910000,10.330000,0.000000,top
"C8","0.1uF_0603_16V","C_0603",30.110000,11.900000,180.000000,top
"C9","0.1uF_0603_16V","C_0603",28.700000,51.610000,0.000000,top
"C10","0.1uF_0603_16V","C_0603",56.030000,44.410000,0.000000,top
"C11","100pF_0603_50V","C_0603",17.980000,13.380000,-90.000000,top
"C12","0.1uF_0603_16V","C_0603",64.090000,54.950000,180.000000,top
"C13","0.1uF_0603_16V","C_0603",68.500000,54.880000,180.000000,top
"C14","0.1uF_0603_16V","C_0603",10.020000,12.130000,0.000000,top
"C15","0.1uF_0603_16V","C_0603",13.740000,17.740000,180.000000,top
"C16","0.1uF_0603_16V","C_0603",58.740000,102.360000,-90.000000,top
"C17","0.1uF_0603_16V","C_0603",31.200000,102.060000,90.000000,top
"C19","1uF_0603_25V","C_0603",47.860000,76.630000,180.000000,top
"C20","2.2uF_0603_25V","C_0603",44.330000,80.700000,-90.000000,top
"D1","B140HW-7","D_SOD-123",43.160000,14.450000,-90.000000,top
"D2","B140HW-7","D_SOD-123",34.870000,12.070000,90.000000,top
"J14","Eurorack_Power_10pin_Unshrouded","Pins_2x05_2.54mm_TH_Europower",39.100000,8.690000,0.000000,top
"JA1","Socket_02x05_P2.54mm_TH","Socket_2x05_2.54mm_TH",56.272000,86.296192,0.000000,top
"JB1","Socket_02x05_P2.54mm_TH","Socket_2x05_2.54mm_TH",55.272002,31.296200,-90.000000,top
"JC1","Socket_02x05_P2.54mm_TH","Socket_2x05_2.54mm_TH",29.271978,31.296200,-90.000000,top
"JD1","Socket_02x05_P2.54mm_TH","Socket_2x05_2.54mm_TH",28.271980,86.296192,0.000000,top
"R1","1k_0603","R_0603",71.220000,51.240000,90.000000,top
"R2","47k_0603","R_0603",50.710000,38.380000,-90.000000,top
"R3","47k_0603","R_0603",32.530000,38.420000,-90.000000,top
"R4","47k_0603","R_0603",16.880000,35.310000,-90.000000,top
"R5","100k_0603","R_0603",48.870000,38.350000,-90.000000,top
"R6","100k_0603","R_0603",28.480000,36.880000,0.000000,top
"R7","100k_0603","R_0603",19.010000,33.510000,90.000000,top
"R8","100k_0603","R_0603",66.530000,49.400000,180.000000,top
"R9","10k_0603","R_0603",59.790000,52.210000,90.000000,top
"R10","33k_0603","R_0603",64.720000,47.690000,0.000000,top
"R11","33k_0603","R_0603",60.650000,56.380000,180.000000,top
"R12","10k_0603","R_0603",17.140000,16.580000,180.000000,top
"R13","33k_0603","R_0603",13.560000,12.100000,0.000000,top
"R14","47k_0603","R_0603",16.310000,13.440000,-90.000000,top
"R15","1k_0603","R_0603",20.490000,12.470000,0.000000,top
"R16","1k_0603","R_0603",68.600000,94.110000,90.000000,top
"R17","47k_0603","R_0603",38.420000,21.730000,0.000000,top
"R18","330Ω_0603","R_0603",41.040000,94.110000,180.000000,top
"R19","330Ω_0603","R_0603",34.960000,94.320000,0.000000,top
"R20","47k_0603","R_0603",18.100000,24.760000,0.000000,top
"R21","1k_0603","R_0603",10.600000,95.430000,90.000000,top
"R23","330Ω_0603","R_0603",45.360000,99.160000,0.000000,top
"R25","10k_0603","R_0603",60.490000,103.990000,-90.000000,top
"R26","10k_0603","R_0603",33.000000,102.060000,-90.000000,top
"R27","47k_0603","R_0603",19.030000,102.150000,-90.000000,top
"R28","33k_0603","R_0603",21.940000,84.970000,0.000000,top
"R30","33k_0603","R_0603",21.930000,83.140000,0.000000,top
"R31","33k_0603","R_0603",22.150000,78.960000,0.000000,top
"R32","33k_0603","R_0603",22.060000,81.110000,0.000000,top
"R33","47k_0603","R_0603",36.050000,24.220000,90.000000,top
"R34","100k_0603","R_0603",38.640000,24.980000,180.000000,top
"R37","10k_0603","R_0603",60.610000,54.710000,0.000000,top
"R40","1k_0603","R_0603",66.000000,93.320000,0.000000,top
"R41","1k_0603","R_0603",10.610000,92.020000,90.000000,top
"U1","NJM2068","TSSOP-8_4.4x3mm_Pitch0.65mm",66.400000,52.130000,180.000000,top
"U2","NJM2068","TSSOP-8_4.4x3mm_Pitch0.65mm",11.360000,14.960000,180.000000,top
"U3","AZ1117CR-3.3TRG1 ","SOT89-3",47.910000,80.380000,90.000000,top
