Designator,Footprint,Quantity,Value,LCSC Part #
"Bank_But1, REV_BUT1",Button_RgbLED_SPST_TC002,2,Button_SPST_RGB_5.4mmCap,
"C1, C10, C12, C13, C14, C15, C16, C17, C2, C3, C7, C8, C9",C_0603,13,0.1uF_0603_16V,
C11,C_0603,1,100pF_0603_50V,
C19,C_0603,1,1uF_0603_25V,
C20,C_0603,1,2.2uF_0603_25V,
"C4, C5",CP_Elec_5x5.3,2,47uF_5x5.3_16V,
C6,C_0603,1,1nF_0603_50V,
"D1, D2",D_SOD-123,2,B140HW-7,
J1,EighthInch_PJ398SM,1,START_CV,
J10,EighthInch_PJ398SM,1,AUDIO_INR,
J11,EighthInch_PJ398SM,1,AUDIO_OUTL,
J13,EighthInch_PJ398SM,1,BANK_CV,
J14,Pins_2x05_2.54mm_TH_Europower,1,Eurorack_Power_10pin_Unshrouded,
J2,EighthInch_PJ398SM,1,LENGTH_CV,
J3,EighthInch_PJ398SM,1,SAMP_CV,
J4,EighthInch_PJ398SM,1,PITCH CV,
J5,EighthInch_PJ398SM,1,REV_TRIG,
J6,EighthInch_PJ398SM,1,PLAY_TRIG,
J7,EighthInch_PJ398SM,1,END_OUT,
J8,EighthInch_PJ398SM,1,AUDIO_INL,
J9,EighthInch_PJ398SM,1,AUIDO_OUTR,
"JA1, JB1, JC1, JD1",Socket_2x05_2.54mm_TH,4,Socket_02x05_TH,
PLAY_BUT1,Button_RgbLED_SPST_PB615303HL-7mm,1,Button_SPST_RGB_7mmCap,
"POT_LENGTH1, POT_SAMP1, POT_START1",Pot_16mm_NoDet_RV16AF-4A,3,16mm_NoDet_10k,
POT_PITCH1,Pot_16mm_CtrDet_RV16AF-4A,1,16mm_CtrDet_10k,
"R1, R15, R16, R21, R40, R41",R_0603,6,1k_0603,
"R10, R11, R13, R28, R30, R31, R32",R_0603,7,33k_0603,
"R12, R25, R26, R37, R9",R_0603,5,10k_0603,
"R14, R17, R2, R20, R27, R3, R33, R4",R_0603,8,47k_0603,
"R18, R19, R23",R_0603,3,330Ω_0603,
"R34, R5, R6, R7, R8",R_0603,5,100k_0603,
SD1,CardSlot_MicroSD_YamaichiPJS008U-3000,1,microSDCon_Vert_TH_PJS008U-3000,
"U1, U2",TSSOP-8_4.4x3mm_Pitch0.65mm,2,NJM2068,
U3,SOT89-3,1,AZ1117CR-3.3TRG1 ,
