"4ms Company"
"PCBA Project:","Kit-Trig-Sampler","Revision: ","p3-SMT"
"EMAIL:","4ms@4mscompany.com"
"DATE:","2023-03-29"

"Group","Item#","Manufacturer","Manufacter Part#","Designator","Quantity","Designation","Package","Comments","Supplied by:"
"A","1","AVX Corporation","0603YC104KAT2A","C1, C2, C3, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17","13","0.1uF_0603_16V, 0.1uF, Min. 16V 10%, X7R or X5R or similar","C0603",""
"A","2","Lelon","VES470M1CTR-0505","C4, C5","2","47uF_5x5.3_16V, 47uF, 16V, 20%, 5.00mmD*5.30mmH, 2000Hrs@85℃","CP_Elec_5x5.3",""
"A","3","Murata","GRM1885C1H102JA01D","C6","1","1nF_0603_50V, 1nF, 50V, 10%, C0G (NP0) or similar","C0603",""
"A","4","Yageo","CC0603JRNPO9BN101","C11","1","100pF_0603_50V, 100pF, Min. 50V 10% NP0 or C0G","C0603",""
"A","5","Murata","GRM188R61E105KA12D","C19","1","1uF_0603_25V, 1uF, Min. 25V, 0603, Ceramic/MLCC","C0603",""
"A","6","Murata","GRM188R6YA225KA12D","C20","1","2.2uF_0603_25V, 2.2uF, Min 25V 10% X5R","C0603",""
"A","7","Diodes Incorporated","B140HW-7","D1, D2","2","B140HW-7, SCHOTTKY RECTIFIER 1.0A 40Vrrm 0.55Vf","D_SOD-123",""
"A","8","Yageo","RC0603FR-071KL","R1, R15, R16, R21, R40, R41","6","1k_0603, 1k, 1%, 1/10W, 0603","R0603",""
"A","9","Yageo","RC0603FR-0747KL","R2, R3, R4, R14, R17, R20, R27, R33","8","47k_0603, 47k, 1%, 1/10W, 0603","R0603",""
"A","10","Yageo","RC0603FR-07100KL","R5, R6, R7, R8, R34","5","100k_0603, 100k, 1%, 1/10W, 0603","R0603",""
"A","11","Yageo","RC0603FR-0710KL","R9, R12, R25, R26, R37","5","10k_0603, 10k, 1%, 1/10W, 0603","R0603",""
"A","12","Yageo","RC0603FR-0733KL","R10, R11, R13, R28, R30, R31, R32","7","33k_0603, 33k, 1%, 1/10W, 0603","R0603",""
"A","13","Yageo","RC0603FR-07330RL","R18, R19, R23","3","330Ω_0603, 330Ω, 1%, 1/10W, 0603","R0603",""
"A","14","NJR","NJM2068V-TE1","U1, U2","2","NJM2068 Dual Opamp","TSSOP-8_4.4x3mm_Pitch0.65mm",""
"A","15","Diodes Inc.","AZ1117CR-3.3TRG1","U3","1","AZ1117CR-3.3TRG1 , 3.3V Reg. Iout>20mA, Vin 15V","SOT89-3",""
"AB","16","Yamaichi","PJS008U-3000-0","SD1","1","microSDCon_Vert_TH_PJS008U-3000, MicroSD Card Conn Ver Dip Mnt","CardSlot_MicroSD_YamaichiPJS008U-3000",""
"B","17","TAD","1-1002FBV0T","J14","1","Eurorack_Power_10pin_Unshrouded, HEADER 2x5 MALE PINS 0.100” 180deg","Pins_2x05_2.54mm_TH_Europower",""
"B","18","Samtec","SSW-105-01-G-D","JA1, JB1, JC1, JD1","4","Socket_02x05_P2.54mm_TH, HEADER 2x5 FEMALE SOCKET 0.100” 180deg","Socket_2x05_2.54mm_TH",""
"C","19","Well Buying","TC002-N11AS2XWT-RGB","Bank_But1, REV_BUT1","2","Button_SPST_RGB_5.4mmCap, SPST button with RGB LED, 5.4mm diffused cap","Button_RgbLED_SPST_TC002",""
"C","20","Wenzhou QingPu Electronics Co","WQP-WQP518MA","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J13","12","3.5mm_Mono_Switched, Audio 3.5mm Jack, mono, switched, PC-pin Vertical","EighthInch_PJ398SM",""
"C","21","Run Run Enterprises","PB615303HL-7","PLAY_BUT1","1","Button_SPST_RGB_7mmCap, SPST button with RGB LED, 7mm diffused cap","Button_RgbLED_SPST_PB615303HL-7mm",""
"C","22","Alpha Taiwan","RV16AF-4A-15FW-B10k-3","POT_LENGTH1, POT_SAMP1, POT_START1","3","16mm_NoDet_10k, 10k Linear, 16mm pot, No Detent, D-shaft","Pot_16mm_NoDet_RV16AF-4A",""
"C","23","Alpha Taiwan","RV16AF-4A-15FW-B10k-3C","POT_PITCH1","1","16mm_CtrDet_10k, 10k Linear, 16mm pot, Center Detent, D-shaft","Pot_16mm_CtrDet_RV16AF-4A",""
"D","24","Posin","sampler-faceplate-v1.0","FP1","1","Faceplate, Sampler Faceplate, matte black mask, white silk","",""
"D","25","Posin","sampler-v1.0","PCB1","1","PCB, matte black mask, white silk, FR4 1.6mm, HASL-LF, two layer","",""
"E","26","Chia Shin Knobs","CP-BUA-6-0DX10.5W7","KNOB1, KNOB2, KNOB3, KNOB4","4","Davies, White Line, D-shaft shallow, D-shaft, 3.5mm depth","",""
"E","27","DiskCopy","Sample Pack 2.0","U4","1","STS SD card w/adaptor, microSD Card, 16GB with STS Sample Pack. Includes SD adaptor","",""
