Designator,Mid X,Mid Y,Rotation,Layer
Bank_But1,173.408648,98.649922,0.0,bottom
C1,152.010148,66.4966,90.0,top
C10,156.060148,52.2566,270.0,top
C11,155.020148,52.2466,270.0,top
C12,153.460148,52.2466,270.0,top
C13,160.340148,55.6466,0.0,top
C14,160.230148,60.0566,0.0,top
C147,163.67048,1.729922,180.0,top
C148,160.786648,2.969922,90.0,top
C149,170.571648,1.819922,180.0,top
C15,143.24,56.67,90.0,top
C150,171.87048,5.759922,180.0,top
C152,162.01048,0.189922,270.0,top
C153,172.751648,3.319922,180.0,top
C17,146.230148,61.6866,180.0,top
C18,146.205148,62.7466,180.0,top
C19,129.636648,3.429922,180.0,top
C2,160.140148,62.8366,90.0,top
C21,133.106648,28.789922,90.0,top
C22,140.316648,63.269922,180.0,top
C23,139.516648,60.729922,90.0,top
C24,147.346648,18.879922,0.0,top
C25,129.306648,28.859922,90.0,top
C26,144.286648,22.739922,180.0,top
C27,153.610148,44.5466,135.0,bottom
C28,153.13994,41.790632,270.0,bottom
C29,156.170148,48.5766,0.0,top
C3,154.030148,66.5066,90.0,top
C30,154.416648,39.019922,270.0,bottom
C31,151.744972,39.291272,90.0,bottom
C32,152.704076,39.234376,270.0,bottom
C33,152.12394,42.55568,90.0,bottom
C34,149.616648,30.119922,90.0,top
C35,174.496648,41.084922,180.0,top
C36,146.290148,57.9666,270.0,top
C37,167.686648,36.169922,0.0,top
C38,150.321648,3.629922,270.0,top
C39,127.206648,101.209922,90.0,top
C4,154.630148,60.4766,90.0,bottom
C40,155.266648,-1.460078,90.0,top
C41,171.296648,31.119922,180.0,top
C42,174.105768,34.310422,0.0,top
C43,147.8566,74.699079,0.0,top
C44,172.426648,21.859922,0.0,top
C45,172.726648,20.119922,0.0,top
C46,178.496648,38.334922,270.0,top
C47,167.526648,97.649922,270.0,top
C48,160.671648,15.699922,180.0,top
C49,178.95278,26.653974,180.0,top
C5,162.170148,59.4266,270.0,top
C50,153.090148,66.4866,90.0,top
C51,178.943428,21.447422,0.0,top
C52,164.376648,15.019922,90.0,top
C53,160.340148,56.7166,0.0,top
C54,147.336648,102.919922,0.0,top
C55,129.27,66.88,0.0,top
C56,129.1,61.34,0.0,top
C57,178.576648,12.589672,270.0,top
C58,138.672648,56.113922,90.0,top
C59,171.596648,55.724482,0.0,top
C6,145.856648,55.229922,180.0,top
C60,175.196648,55.694482,180.0,top
C61,138.206648,82.324922,180.0,top
C62,135.456648,82.264922,0.0,top
C63,132.247564,33.964922,0.0,top
C64,135.527564,38.914922,180.0,top
C65,175.506648,60.934482,180.0,top
C66,139.306648,76.644922,180.0,top
C67,133.106493,51.019922,90.0,top
C68,129.765052,55.748378,270.0,top
C69,130.66,59.1,0.0,top
C7,150.970148,66.4866,90.0,top
C70,132.1,55.77,270.0,top
C71,176.576648,15.789672,180.0,top
C72,172.786648,10.844672,0.0,top
C73,150.426648,24.599922,0.0,top
C74,153.016648,24.599922,180.0,top
C75,157.846648,20.639922,90.0,top
C76,157.816648,22.939922,270.0,top
C77,165.721648,1.739922,0.0,top
C78,167.136648,6.739922,180.0,top
C79,133.736648,76.814922,0.0,top
C8,173.126648,18.829922,0.0,top
C80,134.816648,64.150682,180.0,top
C81,132.256648,65.000682,270.0,top
C82,152.516648,30.379922,270.0,top
C83,171.656648,60.994482,0.0,top
C84,152.981648,5.549922,180.0,top
C85,127.737564,39.504922,90.0,top
C86,141.526648,38.029922,0.0,top
C87,175.586648,53.804922,180.0,top
C88,170.94,48.75,0.0,top
C9,160.230148,59.0166,0.0,top
C90,173.806648,16.084672,180.0,top
C97,168.61,50.66,90.0,top
D1,154.926648,30.729922,0.0,top
D15,168.17,48.07,0.0,top
D16,137.916648,23.679922,270.0,top
D17,143.926648,12.499922,90.0,top
D22,139.846648,39.529922,180.0,top
D24,147.316648,30.049922,180.0,top
D26,130.007564,39.144922,270.0,top
D3,131.336648,19.519922,270.0,top
D7,130.326648,1.109922,270.0,top
J10,139.856648,14.639922,0.0,top
J11,132.258648,2.999922,90.0,bottom
J12,132.258648,17.999922,270.0,bottom
