"Comment","Designator","Footprint","JLCPCB Part #"
"Button_SPST_RGB_5.4mmCap, SPST button with RGB LED, 5.4mm diffused cap TC002-N11AS2XWT-RGB","Bank_But1, REV_BUT1","Button_RgbLED_SPST_TC002",""
"100nF_0402_16V, 0.1uF, Min. 16V 10%, X7R or X5R or similar GCM155R71C104KA55D","C1, C3, C6, C7, C9, C10, C11, C12, C13, C14, C15, C17, C18, C27, C28, C29, C30, C31, C32, C33, C36, C41, C50, C53","C0402","C1525"
"2.2uF_0603_25V, 2.2uF, Min 25V 10% X5R GRM188R6YA225KA12D","C2, C4, C5, C49, C52, C55, C81, C90","C0603","C57895"
"100nF_0402_50V, 0.1uF, Min. 50V 10%, X7R or X5R or similar GRM155R71H104KE14D ","C8, C35, C37, C38, C40, C59, C60, C61, C62, C63, C64, C71, C72, C73, C74, C75, C76, C77, C78, C87, C88","C0402","C307331"
"10nF_0402_16V, 10nF, Min. 16V 10%, X7R or X5R or similar CC0402KRX7R7BB103","C19, C34, C82, C85, C86, C97","C0402","C15195"
"47uF_5x5.3_16V, 47uF, 16V, 20%, 5.00mmD*5.30mmH, 2000Hrs@85℃ VES470M1CTR-0505","C21, C24","CP_Elec_5x5.3","C134798"
"18pF_0603_50V, 18pF, 50V 5% C0G (NP0) 0603 C0603C180J5GACTU","C22, C23","C0603","C1647"
"0.1uF_0603_16V, 0.1uF, Min. 16V 10%, X7R or X5R or similar 0603YC104KAT2A","C25, C26, C39, C42, C45, C47, C54, C58, C65, C66, C79, C83","C0603","C14663"
"4.7uF_1206_lowESR, 4.7uF, Min. 16V, ESR<=100mΩ@1MHz, 1206, MLCC EMF316AB7475KLHT","C43","C1206",""
"22uF_0805_10V, 22uF, Min. 10V, 20%, X5R or X7S or similar, 0805, MLCC LMK212BBJ226MG-T","C44","C0805","C45783"
"1nF_0603_50V, 1nF, 50V, 10%, C0G (NP0) or similar GRM1885C1H102JA01D","C46","C0603","C163508"
"220pF_0603_25V, 220pF, Min 25V, C0G/NP0, 5% 0603 CC0603JRNPO9BN221","C48, C57","C0603","C1603"
"10uF_0603_10V, 10uF, Min. 10V X5R 10% GRM188R61A106KE69D","C51, C56, C80","C0603","C19702"
"22uF_1206_25V, 22uF, Min. 25V, 20%, X5R or X7S or similar, 1206, MLCC TMK316BBJ226ML-T","C67, C68, C70","C1206","C12891"
"10uF_0805_25V, 10uF, Min. 25V, X5R/X6S/X7R/X7S, 0805, MLCC GRM21BR61E106MA73L","C69","C0805","C15850"
"100pF_0603_50V, 100pF, Min. 50V 10% NP0 or C0G CC0603JRNPO9BN101","C84","C0603","C14858"
"180pF_0402_25V, 180pF, 50V, 5%, C0G or NP0 GRM1555C2A181JE01D","C147, C148, C149, C150","C0402","C106999"
"820pF_0402_10v, 820pF, Min. 10V 10% NP0 or C0G 0402ZC821KAT2A","C152, C153","C0402","C565563"
"BAT54S, Dual schottky diode BAT54S BAT54S-7-F","D1, D3, D7, D15, D22, D24, D26","SOT23-3_PO132","C83574"
"B140HW-7, SCHOTTKY RECTIFIER 1.0A 40Vrrm 0.55Vf B140HW-7","D16, D17","D_SOD-123","C134429"
"Faceplate ","FP1","",""
"3.5mm_Mono_Switched, Audio 3.5mm Jack, mono, switched, PC-pin Vertical WQP-WQP518MA","J2, J6, J7, J8, J9, J11, J12, J13, J14, J15, J16, J17","EighthInch_PJ398SM",""
"Conn_01x04, HEADER 1x4 MALE PINS 0.100” 180deg 1-0401FBV0T","J3","Pins_1x04_2.54mm_TH_SWD",""
"Conn_02x04, HEADER 2x4 MALE PINS 0.100” 180deg 1-0802FBV0T","J4","Pins_2x04_2.54mm_TH",""
