Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF_0402_16V","C_0402",152.010148,66.496600,90.000000,top
"C2","2.2uF_0603_25V","C_0603",160.140148,62.836600,90.000000,top
"C3","100nF_0402_16V","C_0402",154.030148,66.506600,90.000000,top
"C5","2.2uF_0603_25V","C_0603",162.170148,59.426600,-90.000000,top
"C6","100nF_0402_16V","C_0402",145.856648,55.229922,180.000000,top
"C7","100nF_0402_16V","C_0402",150.970148,66.486600,90.000000,top
"C8","100nF_0402_50V","C_0402",173.126648,18.829922,0.000000,top
"C9","100nF_0402_16V","C_0402",160.230148,59.016600,0.000000,top
"C10","100nF_0402_16V","C_0402",156.060148,52.256600,-90.000000,top
"C11","100nF_0402_16V","C_0402",155.020148,52.246600,-90.000000,top
"C12","100nF_0402_16V","C_0402",153.460148,52.246600,-90.000000,top
"C13","100nF_0402_16V","C_0402",160.340148,55.646600,0.000000,top
"C14","100nF_0402_16V","C_0402",160.230148,60.056600,0.000000,top
"C15","100nF_0402_16V","C_0402",143.240000,56.670000,90.000000,top
"C17","100nF_0402_16V","C_0402",146.230148,61.686600,180.000000,top
"C18","100nF_0402_16V","C_0402",146.205148,62.746600,180.000000,top
"C19","10nF_0402_16V","C_0402",129.636648,3.429922,180.000000,top
"C21","47uF_5x5.3_16V","CP_Elec_5x5.3",133.106648,28.789922,90.000000,top
"C22","18pF_0603_50V","C_0603",140.316648,63.269922,180.000000,top
"C23","18pF_0603_50V","C_0603",139.516648,60.729922,90.000000,top
"C24","47uF_5x5.3_16V","CP_Elec_5x5.3",147.346648,18.879922,0.000000,top
"C25","0.1uF_0603_16V","C_0603",129.306648,28.859922,90.000000,top
"C26","0.1uF_0603_16V","C_0603",144.286648,22.739922,180.000000,top
"C29","100nF_0402_16V","C_0402",156.170148,48.576600,0.000000,top
"C34","10nF_0402_16V","C_0402",149.616648,30.119922,90.000000,top
"C35","100nF_0402_50V","C_0402",174.496648,41.084922,180.000000,top
"C36","100nF_0402_16V","C_0402",146.290148,57.966600,-90.000000,top
"C37","100nF_0402_50V","C_0402",167.686648,36.169922,0.000000,top
"C38","100nF_0402_50V","C_0402",150.321648,3.629922,-90.000000,top
"C39","0.1uF_0603_16V","C_0603",127.206648,101.209922,90.000000,top
"C40","100nF_0402_50V","C_0402",155.266648,-1.460078,90.000000,top
"C41","100nF_0402_16V","C_0402",171.296648,31.119922,180.000000,top
"C42","0.1uF_0603_16V","C_0603",174.105768,34.310422,0.000000,top
"C43","4.7uF_1206_lowESR","C_1206",147.856600,74.699079,0.000000,top
"C44","22uF_0805_10V","C_0805",172.426648,21.859922,0.000000,top
"C45","0.1uF_0603_16V","C_0603",172.726648,20.119922,0.000000,top
"C46","1nF_0603_50V","C_0603",178.496648,38.334922,-90.000000,top
"C47","0.1uF_0603_16V","C_0603",167.526648,97.649922,-90.000000,top
"C48","220pF_0603_25V","C_0603",160.671648,15.699922,180.000000,top
"C49","2.2uF_0603_25V","C_0603",178.952780,26.653974,180.000000,top
"C50","100nF_0402_16V","C_0402",153.090148,66.486600,90.000000,top
"C51","10uF_0603_10V","C_0603",178.943428,21.447422,0.000000,top
"C52","2.2uF_0603_25V","C_0603",164.376648,15.019922,90.000000,top
"C53","100nF_0402_16V","C_0402",160.340148,56.716600,0.000000,top
"C54","0.1uF_0603_16V","C_0603",147.336648,102.919922,0.000000,top
"C55","2.2uF_0603_25V","C_0603",129.270000,66.880000,0.000000,top
"C56","10uF_0603_10V","C_0603",129.100000,61.340000,0.000000,top
"C57","220pF_0603_25V","C_0603",178.576648,12.589672,-90.000000,top
"C58","0.1uF_0603_16V","C_0603",138.672648,56.113922,90.000000,top
"C59","100nF_0402_50V","C_0402",171.596648,55.724482,0.000000,top
"C60","100nF_0402_50V","C_0402",175.196648,55.694482,180.000000,top
"C61","100nF_0402_50V","C_0402",138.206648,82.324922,180.000000,top
"C62","100nF_0402_50V","C_0402",135.456648,82.264922,0.000000,top
"C63","100nF_0402_50V","C_0402",132.247564,33.964922,0.000000,top
"C64","100nF_0402_50V","C_0402",135.527564,38.914922,180.000000,top
"C65","0.1uF_0603_16V","C_0603",175.506648,60.934482,180.000000,top
"C66","0.1uF_0603_16V","C_0603",139.306648,76.644922,180.000000,top
"C67","22uF_1206_25V","C_1206",133.106493,51.019922,90.000000,top
"C68","22uF_1206_25V","C_1206",129.765052,55.748378,-90.000000,top
"C69","10uF_0805_25V","C_0805",130.660000,59.100000,0.000000,top
"C70","22uF_1206_25V","C_1206",132.100000,55.770000,-90.000000,top
"C71","100nF_0402_50V","C_0402",176.576648,15.789672,180.000000,top
"C72","100nF_0402_50V","C_0402",172.786648,10.844672,0.000000,top
"C73","100nF_0402_50V","C_0402",150.426648,24.599922,0.000000,top
"C74","100nF_0402_50V","C_0402",153.016648,24.599922,180.000000,top
"C75","100nF_0402_50V","C_0402",157.846648,20.639922,90.000000,top
"C76","100nF_0402_50V","C_0402",157.816648,22.939922,-90.000000,top
"C77","100nF_0402_50V","C_0402",165.721648,1.739922,0.000000,top
"C78","100nF_0402_50V","C_0402",167.136648,6.739922,180.000000,top
"C79","0.1uF_0603_16V","C_0603",133.736648,76.814922,0.000000,top
"C80","10uF_0603_10V","C_0603",134.816648,64.150682,180.000000,top
"C81","2.2uF_0603_25V","C_0603",132.256648,65.000682,-90.000000,top
"C82","10nF_0402_16V","C_0402",152.516648,30.379922,-90.000000,top
"C83","0.1uF_0603_16V","C_0603",171.656648,60.994482,0.000000,top
"C84","100pF_0603_50V","C_0603",152.981648,5.549922,180.000000,top
"C85","10nF_0402_16V","C_0402",127.737564,39.504922,90.000000,top
"C86","10nF_0402_16V","C_0402",141.526648,38.029922,0.000000,top
"C87","100nF_0402_50V","C_0402",175.586648,53.804922,180.000000,top
"C88","100nF_0402_50V","C_0402",170.940000,48.750000,0.000000,top
"C90","2.2uF_0603_25V","C_0603",173.806648,16.084672,180.000000,top
"C97","10nF_0402_16V","C_0402",168.610000,50.660000,90.000000,top
"C147","180pF_0402_25V","C_0402",163.670480,1.729922,180.000000,top
"C148","180pF_0402_25V","C_0402",160.786648,2.969922,90.000000,top
"C149","180pF_0402_25V","C_0402",170.571648,1.819922,180.000000,top
"C150","180pF_0402_25V","C_0402",171.870480,5.759922,180.000000,top
"C152","820pF_0402_10v","C_0402",162.010480,0.189922,-90.000000,top
"C153","820pF_0402_10v","C_0402",172.751648,3.319922,180.000000,top
"D1","BAT54S","SOT23-3_PO132",154.926648,30.729922,0.000000,top
"D3","BAT54S","SOT23-3_PO132",131.336648,19.519922,-90.000000,top
"D7","BAT54S","SOT23-3_PO132",130.326648,1.109922,-90.000000,top
"D15","BAT54S","SOT23-3_PO132",168.170000,48.070000,0.000000,top
"D16","B140HW-7","D_SOD-123",137.916648,23.679922,-90.000000,top
"D17","B140HW-7","D_SOD-123",143.926648,12.499922,90.000000,top
"D22","BAT54S","SOT23-3_PO132",139.846648,39.529922,180.000000,top
"D24","BAT54S","SOT23-3_PO132",147.316648,30.049922,180.000000,top
"D26","BAT54S","SOT23-3_PO132",130.007564,39.144922,-90.000000,top
"J3","Conn_01x04","Pins_1x04_2.54mm_TH_SWD",180.876648,72.719922,0.000000,top
"J4","Conn_02x04","Pins_2x04_2.54mm_TH",155.106648,88.799922,90.000000,top
"J10","Eurorack_Power_10pin_Unshrouded","Pins_2x05_2.54mm_TH_EurorackPower",139.856648,14.639922,0.000000,top
"L1","4.7uH_1.2A_40xx","L_Taiyo-Yuden_NR-40xx",135.546648,55.569922,180.000000,top
"R1","10k_0402","R_0402",157.346648,27.449922,180.000000,top
"R2","68Ω_0402","R_0402",156.546648,24.569922,0.000000,top
"R3","2k_0603","R_0603",170.906648,92.609922,90.000000,top
"R4","3k_0402","R_0402",160.370148,57.786600,180.000000,top
"R5","2k_0603","R_0603",172.646648,92.629922,90.000000,top
"R6","10k_0402","R_0402",164.546648,7.219922,-90.000000,top
"R7","10k_0402","R_0402",163.506648,7.199922,-90.000000,top
"R8","10k_0402","R_0402",153.536648,67.989922,180.000000,top
"R9","1k_0603","R_0603",166.946648,38.609922,90.000000,top
"R10","10k_0402","R_0402",171.126648,7.259922,-90.000000,top
"R11","10k_0402","R_0402",169.504944,59.278002,0.000000,top
"R12","68Ω_0402","R_0402",169.546648,57.979922,180.000000,top
"R13","2k_0603","R_0603",136.246648,93.489922,180.000000,top
"R14","10k_0402","R_0402",170.126648,7.189922,-90.000000,top
"R15","47k_0603","R_0603",159.456648,32.619922,-90.000000,top
"R16","47k_0603","R_0603",144.696648,29.859922,-90.000000,top
"R17","47k_0603","R_0603",132.717564,41.544922,180.000000,top
"R18","10k_0402","R_0402",169.610000,50.590000,-90.000000,top
"R19","68Ω_0402","R_0402",168.420000,52.970000,180.000000,top
"R20","47k_0603","R_0603",139.806648,32.809922,90.000000,top
"R21","100k_0603","R_0603",157.746648,29.819922,-90.000000,top
"R22","10k_0402","R_0402",140.566648,78.544922,90.000000,top
"R23","68Ω_0402","R_0402",140.961648,80.154922,0.000000,top
"R24","100k_0603","R_0603",145.366648,26.419922,90.000000,top
"R25","100k_0603","R_0603",129.417564,41.804922,0.000000,top
"R26","100k_0603","R_0603",143.236648,35.729922,180.000000,top
"R27","10k_0402","R_0402",140.216648,35.469922,180.000000,top
"R28","68Ω_0402","R_0402",140.196648,36.819922,0.000000,top
"R29","20k_0603","R_0603",174.096648,35.884922,0.000000,top
"R30","10k_0402","R_0402",147.246648,27.729922,0.000000,top
"R32","100k_0603","R_0603",171.146648,41.484922,0.000000,top
"R33","10k_0402","R_0402",132.377564,39.524922,-90.000000,top
"R34","68Ω_0402","R_0402",129.987564,36.304922,180.000000,top
"R35","2k_0603","R_0603",127.896648,97.989922,0.000000,top
"R36","10k_0603","R_0603",128.846648,101.209922,90.000000,top
"R40","10k_0402","R_0402",179.136648,59.304482,-90.000000,top
"R41","68Ω_0402","R_0402",178.600000,55.644482,0.000000,top
"R42","14k_0402","R_0402",179.976648,13.189672,-90.000000,top
"R43","100k_0402","R_0402",175.506648,10.914672,180.000000,top
"R44","1k_0402","R_0402",169.221648,14.454672,90.000000,top
"R45","10k_0402","R_0402",131.406648,78.779922,90.000000,top
"R46","68Ω_0402","R_0402",133.131648,82.234922,0.000000,top
"R47","4.7k_0402","R_0402",176.331648,31.087422,0.000000,top
"R48","4.7k_0402","R_0402",175.010000,32.440000,0.000000,top
"R49","1M_0402","R_0402",169.201648,12.489672,-90.000000,top
"R50","14k_0402","R_0402",160.651648,14.339922,180.000000,top
"R51","100k_0402","R_0402",160.531648,13.069922,0.000000,top
"R52","1k_0402","R_0402",161.371088,25.206436,0.000000,top
"R53","1M_0402","R_0402",159.401088,25.216436,180.000000,top
"R54","1k_0402","R_0402",162.896648,15.564922,-90.000000,top
"R55","1k_0402","R_0402",178.776648,14.789672,180.000000,top
"R56","33k_0603","R_0603",176.696648,38.284922,-90.000000,top
"R57","33k_0603","R_0603",170.696648,35.869922,180.000000,top
"R58","47k_0603","R_0603",132.946648,1.019922,90.000000,top
"R59","47k_0603","R_0603",133.916648,19.609922,-90.000000,top
"R60","10k_0603","R_0603",155.636648,1.579922,-90.000000,top
"R61","33k_0603","R_0603",155.541648,5.929922,90.000000,top
"R62","47k_0603","R_0603",152.951648,7.159922,180.000000,top
"R63","1k_0603","R_0603",150.391648,6.499922,90.000000,top
"R64","2k_0603","R_0603",175.656648,93.549922,180.000000,top
"R65","31.6k_0402","R_0402",137.641648,49.119922,180.000000,top
"R66","100k_0402","R_0402",135.526493,49.139922,0.000000,top
"R67","10.2k_0402","R_0402",139.356493,51.929922,90.000000,top
"R68","2k_0603","R_0603",129.396648,93.459922,0.000000,top
"R70","330Ω_0603","R_0603",160.596648,97.019922,180.000000,top
"R71","330Ω_0603","R_0603",147.166648,93.179922,0.000000,top
"R73","10k_0603","R_0603",167.526648,101.269922,-90.000000,top
"R74","10k_0603","R_0603",147.356648,101.299922,180.000000,top
"R75","330Ω_0603","R_0603",147.296648,96.649922,180.000000,top
"R77","33k_0603","R_0603",147.986648,84.549922,0.000000,top
"R78","33k_0603","R_0603",147.986648,81.999922,0.000000,top
"R79","33k_0603","R_0603",147.986648,79.449922,0.000000,top
"R80","33k_0603","R_0603",147.986648,76.899922,0.000000,top
"R81","68Ω_0402","R_0402",147.251648,26.299922,180.000000,top
"R152","1k_0402","R_0402",163.775480,-0.390078,0.000000,top
"R153","1k_0402","R_0402",172.041648,1.409922,90.000000,top
"R157","24k_0402","R_0402",163.715480,0.669922,180.000000,top
"R158","10k_0402","R_0402",162.120480,2.279922,-90.000000,top
"R159","10k_0402","R_0402",162.306648,5.249922,90.000000,top
"R160","24k_0402","R_0402",160.176648,1.339922,0.000000,top
"R161","24k_0402","R_0402",170.571648,0.779922,180.000000,top
"R162","10k_0402","R_0402",168.551648,1.749922,180.000000,top
"R163","10k_0402","R_0402",171.890480,4.629922,0.000000,top
"R164","24k_0402","R_0402",173.416648,4.959922,-90.000000,top
"U1","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",174.606648,58.219922,180.000000,top
"U2","STM32F746IE","UFBGA-201_10x10mm_Layout15x15_P0.65mm",153.200148,59.246600,0.000000,top
"U3","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",135.976648,79.739922,0.000000,top
"U4","SDRAM_IS42S16400J-6BLI-TR","BGA-54_8.0x8.0mm_P0.8",152.650148,43.026600,180.000000,top
"U5","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",135.156648,36.439922,180.000000,top
"U6","NCP51460SN33","SOT23-3_PO132",129.300000,64.090000,-90.000000,top
"U8","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",173.726648,13.364672,0.000000,top
"U9","PCM3060PW","TSSOP-28_4.4x9.7mm_P0.65mm",171.736648,26.629922,-90.000000,top
"U10","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",152.286648,27.069922,180.000000,top
"U11","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",160.376648,20.519922,-90.000000,top
"U12","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",166.916648,4.259922,180.000000,top
"U13","AP62200WU-7","TSOT-23-6",136.496648,51.359922,0.000000,top
"U14","TL072H","TSSOP-8_4.4x3mm_Pitch0.65mm",174.036648,51.229922,0.000000,top
"U15","NJM2068","TSSOP-8_4.4x3mm_Pitch0.65mm",171.746648,38.609922,0.000000,top
"U16","NJM2068","TSSOP-8_4.4x3mm_Pitch0.65mm",152.871648,0.739922,90.000000,top
