Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,2.2uF_0603_25V,C_0603,28.771285,64.846678,90.000000,bottom
C27,100nF_0402_16V,C_0402,29.791285,48.916678,45.000000,bottom
C28,100nF_0402_16V,C_0402,30.261493,46.160710,-90.000000,bottom
C30,100nF_0402_16V,C_0402,28.984785,43.390000,-90.000000,bottom
C31,100nF_0402_16V,C_0402,31.656461,43.661350,90.000000,bottom
C32,100nF_0402_16V,C_0402,30.697357,43.604454,-90.000000,bottom
C33,100nF_0402_16V,C_0402,31.277493,46.925758,90.000000,bottom
C1,100nF_0402_16V,C_0402,-31.391285,70.866678,90.000000,top
C2,2.2uF_0603_25V,C_0603,-23.261285,67.206678,90.000000,top
C3,100nF_0402_16V,C_0402,-29.371285,70.876678,90.000000,top
C5,2.2uF_0603_25V,C_0603,-21.231285,63.796678,-90.000000,top
C6,100nF_0402_16V,C_0402,-37.544785,59.600000,180.000000,top
C7,100nF_0402_16V,C_0402,-32.431285,70.856678,90.000000,top
C8,100nF_0402_50V,C_0402,-10.250000,22.920000,0.000000,top
C9,100nF_0402_16V,C_0402,-23.171285,63.386678,0.000000,top
C10,100nF_0402_16V,C_0402,-27.341285,56.626678,-90.000000,top
C11,100nF_0402_16V,C_0402,-28.381285,56.616678,-90.000000,top
C12,100nF_0402_16V,C_0402,-29.941285,56.616678,-90.000000,top
C13,100nF_0402_16V,C_0402,-23.061285,60.016678,0.000000,top
C14,100nF_0402_16V,C_0402,-23.171285,64.426678,0.000000,top
C15,100nF_0402_16V,C_0402,-40.161433,61.040078,90.000000,top
C16,100nF_0603_16V,C_0603,-45.901433,31.810078,90.000000,top
C17,100nF_0402_16V,C_0402,-37.171285,66.056678,180.000000,top
C18,100nF_0402_16V,C_0402,-37.196285,67.116678,180.000000,top
C19,10nF_0402_16V,C_0402,-53.764785,7.800000,180.000000,top
C20,100nF_0603_16V,C_0603,-43.401433,4.790078,-90.000000,top
C21,47uF_5x5.3_16V,CP_Elec_5x5.3,-52.901433,32.710078,180.000000,top
C22,18pF_0603_50V,C_0603,-43.084785,67.640000,180.000000,top
C23,18pF_0603_50V,C_0603,-43.884785,65.100000,90.000000,top
C24,47uF_5x5.3_16V,CP_Elec_5x5.3,-38.046648,6.090078,180.000000,top
C25,0.1uF_0603_16V,C_0603,-42.901433,28.960078,180.000000,top
C26,0.1uF_0603_16V,C_0603,-47.828081,5.620156,0.000000,top
C29,100nF_0402_16V,C_0402,-27.231285,52.946678,0.000000,top
C34,10nF_0402_16V,C_0402,-33.784785,34.490000,90.000000,top
C35,100nF_0402_50V,C_0402,-8.904785,45.455000,180.000000,top
C36,100nF_0402_16V,C_0402,-37.111285,62.336678,-90.000000,top
C37,100nF_0402_50V,C_0402,-15.714785,40.540000,0.000000,top
C38,100nF_0402_50V,C_0402,-33.079785,8.000000,-90.000000,top
C39,0.1uF_0603_16V,C_0603,-56.194785,105.580000,90.000000,top
C40,100nF_0402_50V,C_0402,-28.134785,2.910000,90.000000,top
C41,100nF_0402_16V,C_0402,-12.080000,35.210000,180.000000,top
C42,0.1uF_0603_16V,C_0603,-9.295665,38.680500,0.000000,top
C43,4.7uF_1206_lowESR,C_1206,-36.561433,89.570078,0.000000,top
