Designator,Mid X,Mid Y,Rotation,Layer
Bank_But1,-7.505,102.684491,0.0,bottom
C1,-31.391285,70.866678,90.0,top
C10,-27.341285,56.626678,270.0,top
C11,-28.381285,56.616678,270.0,top
C12,-29.941285,56.616678,270.0,top
C13,-23.061285,60.016678,0.0,top
C14,-23.171285,64.426678,0.0,top
C147,-18.962816,5.770078,180.0,top
C148,-21.846648,7.010078,90.0,top
C149,-12.061648,5.860078,180.0,top
C15,-40.161433,61.040078,90.0,top
C150,-10.762816,9.800078,180.0,top
C152,-20.622816,4.230078,270.0,top
C153,-9.881648,7.360078,180.0,top
C16,-45.901433,31.810078,90.0,top
C17,-37.171285,66.056678,180.0,top
C18,-37.196285,67.116678,180.0,top
C19,-53.764785,7.8,180.0,top
C2,-23.261285,67.206678,90.0,top
C20,-43.401433,4.790078,270.0,top
C21,-52.901433,32.710078,180.0,top
C22,-43.084785,67.64,180.0,top
C23,-43.884785,65.1,90.0,top
C24,-38.046648,6.090078,180.0,top
C25,-42.901433,28.960078,180.0,top
C26,-47.828081,5.620156,0.0,top
C27,-29.4284,48.916678,135.0,bottom
C28,-29.898608,46.16071,270.0,bottom
C29,-26.8684,52.946678,0.0,top
C3,-29.371285,70.876678,90.0,top
C30,-28.6219,43.39,270.0,bottom
C31,-31.293576,43.66135,90.0,bottom
C32,-30.334472,43.604454,270.0,bottom
C33,-30.914608,46.925758,90.0,bottom
C34,-33.784785,34.49,90.0,top
C35,-11.495,42.99,180.0,top
C36,-37.111285,62.336678,270.0,top
C37,-17.665,37.99,0.0,top
C38,-26.715,6.5,90.0,top
C39,-56.96,101.06,270.0,top
C4,-28.771285,64.846678,90.0,bottom
C40,-31.66,11.59,270.0,top
C41,-12.08,35.21,180.0,top
C42,-8.23,38.785,270.0,top
C43,-36.561433,89.570078,0.0,top
C44,-10.95,25.95,0.0,top
C45,-10.65,24.21,0.0,top
C46,-9.16,41.18,270.0,top
C47,-13.46,100.9,270.0,top
C48,-22.1,20.28,180.0,top
C49,-4.448653,31.024052,180.0,top
C5,-21.231285,63.796678,270.0,top
C50,-30.311285,70.856678,90.0,top
C51,-4.458005,25.8175,0.0,top
